Filename,
.github/workflows/gradle_branch.yml,11
.github/workflows/gradle_jdk11.yml,21
.github/workflows/gradle_pr.yml,13
.github/workflows/gradle_release.yml,1
.github/workflows/gradle_snapshot.yml,18
build.gradle,11
.github/dependabot.yml,24
src/main/java/io/reactivex/rxjava3/internal/schedulers/SchedulerPoolFactory.java,10
src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java,1
src/test/java/io/reactivex/rxjava3/plugins/RxJavaPluginsTest.java,6
src/test/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableConcatMapSchedulerTest.java,4
src/test/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableConcatTest.java,17
src/test/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableMergeTest.java,25
src/test/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableSubscribeOnTest.java,25
src/test/java/io/reactivex/rxjava3/internal/operators/observable/ObservableConcatMapSchedulerTest.java,27
src/test/java/io/reactivex/rxjava3/internal/operators/observable/ObservableConcatTest.java,16
src/test/java/io/reactivex/rxjava3/subjects/UnicastSubjectTest.java,23
src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java,25
config/checkstyle/checkstyle.xml,17
config/checkstyle/suppressions.xml,7
config/license/HEADER,9
config/license/HEADER_JAVA,23
src/main/java/io/reactivex/rxjava3/core/Completable.java,16
src/main/java/io/reactivex/rxjava3/core/Flowable.java,2
src/main/java/io/reactivex/rxjava3/core/Notification.java,9
src/main/java/io/reactivex/rxjava3/core/Observable.java,20
src/main/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableReplay.java,6
src/main/java/io/reactivex/rxjava3/internal/operators/mixed/ScalarXMapZHelper.java,23
src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableReplay.java,0
src/main/java/io/reactivex/rxjava3/internal/util/QueueDrainHelper.java,6
src/main/java/io/reactivex/rxjava3/observers/BaseTestConsumer.java,30
src/test/java/io/reactivex/rxjava3/exceptions/CompositeExceptionTest.java,2
src/test/java/io/reactivex/rxjava3/schedulers/SchedulerTestHelper.java,17
gradle/wrapper/gradle-wrapper.jar,26
gradle/wrapper/gradle-wrapper.properties,21
gradlew,26
gradlew.bat,1
src/main/java/io/reactivex/rxjava3/core/Single.java,19
CONTRIBUTING.md,21
HEADER_JAVA,23
checkstyle.xml,23
src/jmh/java/io/reactivex/rxjava3/core/BinaryFlatMapPerf.java,29
src/jmh/java/io/reactivex/rxjava3/core/BlockingGetPerf.java,9
src/jmh/java/io/reactivex/rxjava3/core/BlockingPerf.java,20
